GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TProtocolSerializer.new Object() {...},13,83,0,0,0,1,0,1,0,1
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TCompactProtocolSerializer,0,13,0,0,0,4,0,2,0,2
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,ThriftSerializerProvider,0,52,0,0,0,11,0,4,0,4
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,ThriftOnlySerializerProvider,0,81,0,0,0,13,0,4,0,4
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TSimpleJsonProtocolSerializer,0,9,0,0,0,2,0,1,0,1
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TTupleProtocolSerializer,339,644,27,71,58,161,21,53,3,10
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TTupleProtocolSerializer.new Object() {...},13,83,0,0,0,1,0,1,0,1
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TProtocolSerializer,230,712,19,61,38,179,17,45,1,10
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TJsonProtocolSerializer,0,13,0,0,0,4,0,2,0,2
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift,TBinaryProtocolSerializer,4,22,3,1,0,6,2,3,0,3
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.io,FramedBufferOutputStream,86,104,4,6,9,28,4,8,1,6
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.io,FramedBufferInputStream,137,168,21,19,25,44,17,12,2,7
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.client,SocketClientHandler,90,168,11,9,7,41,10,7,1,6
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.client,NonblockingSocketClientHandler,186,353,25,27,20,84,25,15,4,10
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.server,NonblockingSocketServer.Context,7,43,0,0,2,12,0,2,0,2
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.server,NonblockingSocketServer.WriteEntry,0,15,0,0,0,5,0,1,0,1
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.server,NonblockingSocketServer,531,456,30,34,61,117,23,20,1,10
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.server,SocketServer.Builder,31,80,5,3,9,28,6,8,2,8
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.server,SocketServer,338,273,54,16,26,62,35,10,1,9
Providence Utils : Thrift Bridge,net.morimekta.providence.thrift.server,NonblockingSocketServer.Builder,53,82,8,2,18,27,10,7,5,7
