GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Generator : Java,net.morimekta.providence.generator.format.java.enums.extras,JacksonEnumFormatter,0,207,0,0,0,44,0,4,0,4
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaEnumFormatter,0,37,0,2,0,8,0,3,0,2
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaGenerator.new Object() {...},2,17,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaConstantsFormatter,47,156,2,4,7,33,2,3,0,2
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaGeneratorFactory,138,0,28,0,29,0,25,0,6,0
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaGenerator,65,327,2,11,17,61,2,14,0,9
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaServiceFormatter,55,2253,9,117,6,448,8,62,0,7
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaOptions,0,21,0,0,0,7,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaMessageFormatter,0,140,1,7,0,27,1,8,0,5
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCoreOverridesFormatter.new Object() {...},4,29,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CoreOverridesFormatter,39,1259,4,44,11,342,3,33,0,12
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCommonMemberFormatter.new Object() {...},5,35,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonBuilderFormatter.new Object() {...},5,35,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonMemberFormatter,581,951,69,80,99,213,43,47,0,12
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonOverridesFormatter,39,1257,6,85,6,266,6,65,0,12
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCoreOverridesFormatter,1,1360,1,62,0,314,1,53,0,20
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCommonMemberFormatter,171,2659,48,152,32,501,34,95,0,27
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonMemberFormatter.new Object() {...},12,77,0,0,0,1,0,1,0,1
