GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Generator : Java,net.morimekta.providence.generator.format.java.enums.extras,JacksonEnumFormatter,0,207,0,0,0,44,0,4,0,4
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaEnumFormatter,0,37,0,2,0,8,0,3,0,2
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaConstantsFormatter,47,156,2,4,7,33,2,3,0,2
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaGenerator,0,74,0,0,0,8,0,6,0,6
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaServiceFormatter,34,2216,4,108,4,436,4,59,0,7
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaOptions,0,24,0,0,0,8,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java,JavaMessageFormatter,0,134,1,7,0,26,1,8,0,5
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCoreOverridesFormatter.new Object() {...},4,29,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CoreOverridesFormatter,39,1252,6,44,11,347,5,33,0,13
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCommonMemberFormatter.new Object() {...},5,35,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonBuilderFormatter.new Object() {...},5,35,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonMemberFormatter,561,869,63,76,95,194,39,45,0,11
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonOverridesFormatter,39,1237,6,85,6,265,6,65,0,12
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCoreOverridesFormatter,1,1360,1,62,0,314,1,53,0,20
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,BuilderCommonMemberFormatter,44,2362,8,132,7,447,8,90,0,26
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonMemberFormatter.new Object() {...},12,77,0,0,0,1,0,1,0,1
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonBuilderFormatter,59,548,4,32,6,104,4,24,0,9
Providence Generator : Java,net.morimekta.providence.generator.format.java.messages,CommonOverridesFormatter.new Object() {...},14,89,0,0,0,1,0,1,0,1
