GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Utils : Reflection,net.morimekta.providence.reflect.parser,ParseException,9,8,0,0,2,2,1,1,1,1
Providence Utils : Reflection,net.morimekta.providence.reflect.parser,MessageProgramParser,25,0,0,0,6,0,2,0,2,0
Providence Utils : Reflection,net.morimekta.providence.reflect.parser,ThriftProgramParser,303,2039,84,221,47,434,74,113,1,25
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CService,69,13,12,0,19,4,13,1,7,1
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CExceptionDescriptor,0,148,0,12,0,31,0,15,0,9
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CUnion.new Object() {...},44,0,0,0,2,0,1,0,1,0
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CExceptionDescriptor._BuilderSupplier,0,13,0,0,0,4,0,3,0,3
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CMessage.new Object() {...},3,23,0,0,0,1,0,1,0,1
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CUnionDescriptor._Factory,6,7,0,0,1,3,1,2,1,2
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CStruct,72,255,24,26,16,50,19,20,2,12
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CExceptionDescriptor.new Object() {...},4,29,0,0,0,1,0,1,0,1
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CEnumValue.Builder,0,35,0,2,0,10,0,6,0,5
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CMessageBuilder,351,490,40,51,57,96,30,31,5,7
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CProgram,0,98,0,14,0,21,0,18,0,11
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CUnionDescriptor.new Object() {...},33,0,0,0,1,0,1,0,1,0
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CStructDescriptor,79,136,16,14,19,33,17,9,7,4
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CEnumValue,9,114,6,8,0,29,5,14,0,12
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CServiceMethod,66,0,6,0,22,0,12,0,9,0
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CStructDescriptor._Factory,0,13,0,0,0,4,0,3,0,3
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CStruct.Builder,0,15,0,0,0,5,0,3,0,3
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CException.Builder,1,37,0,0,1,11,0,3,0,3
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CEnumDescriptor,0,131,0,12,0,25,0,15,0,9
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CUnion,242,0,41,0,43,0,33,0,12,0
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CUnionDescriptor,81,67,10,2,17,14,13,2,8,1
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CEnumDescriptor._Factory,0,13,0,0,0,4,0,3,0,3
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CException,0,57,0,8,0,11,0,11,0,7
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CMessageBuilder.new Object() {...},5,39,0,0,0,2,0,1,0,1
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CUnion.Builder,381,0,57,0,79,0,43,0,12,0
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CMessage,18,93,5,18,3,21,5,12,0,5
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CStructDescriptor.new Object() {...},33,0,0,0,1,0,1,0,1,0
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CConst,0,10,0,0,0,2,0,1,0,1
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CField,0,240,2,32,0,53,2,31,0,16
Providence Utils : Reflection,net.morimekta.providence.reflect.contained,CAnnotatedDescriptor,0,10,0,0,0,2,0,2,0,2
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ThriftCollection,34,47,11,1,4,5,8,4,1,4
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ProgramRegistry,138,168,19,19,22,34,20,9,4,4
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ReflectionUtils,7,89,1,21,2,16,3,12,2,2
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ConstProvider,36,76,7,3,1,18,5,2,0,2
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ProgramRegistry.new Object() {...},3,23,0,0,0,1,0,1,0,1
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ThriftAnnotation,34,122,4,0,4,14,5,2,3,2
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ProgramConverter,353,304,32,18,72,92,21,13,1,5
Providence Utils : Reflection,net.morimekta.providence.reflect.util,ProgramConverter.new Object() {...},8,57,0,0,0,2,0,1,0,1
Providence Utils : Reflection,net.morimekta.providence.reflect,TypeLoader,249,0,28,0,50,0,20,0,6,0
Providence Utils : Reflection,net.morimekta.providence.reflect.parser.internal,ConstParser.new Object() {...},13,83,0,0,0,1,0,1,0,1
Providence Utils : Reflection,net.morimekta.providence.reflect.parser.internal,ThriftTokenizer,24,44,2,6,3,12,2,5,0,3
Providence Utils : Reflection,net.morimekta.providence.reflect.parser.internal,ConstParser,581,625,82,88,103,131,56,47,1,7
